CEV_Cons,CEV_ConsGov
-53.3596169525225,-53.3596169525225
-53.5403922032491,-53.6127806113813
-53.7239133838622,-53.8690548787844
-53.9102363905564,-54.1284993438982
-54.0994185490777,-54.3911750818227
-54.2915186588228,-54.6571446988434
-54.4865970385325,-54.9264723793087
-54.684715573647,-55.1992239341992
-54.885937765393,-55.4754668514593
-55.0903287816731,-55.7552703481652
-55.2979555098362,-56.0387054246063
-55.5088866114067,-56.3258449203609
-55.7231925788572,-56.6167635724501
-55.9409457945123,-56.9115380756607
-56.1622205916746,-57.2102471451271
-56.38709331807,-57.5129715812734
-56.6156424017137,-57.8197943372148
-56.8479484193017,-58.1308005887281
-57.0840941672403,-58.4460778069027
-57.3241647354306,-58.7657158335906
-57.5682475839295,-59.0898069597806
